195k, train_mse: 0.0028881454, test1_mse: 0.002756408, test2_mse: 3.6093283e-05
196k, train_mse: 0.0031311677, test1_mse: 0.002953031, test2_mse: 5.884809e-05
197k, train_mse: 0.0033092166, test1_mse: 0.0031045107, test2_mse: 4.698955e-05
198k, train_mse: 0.0030765524, test1_mse: 0.0028772582, test2_mse: 5.7282457e-05
199k, train_mse: 0.0030404883, test1_mse: 0.002922933, test2_mse: 4.5778117e-05
200k, train_mse: 0.0030475906, test1_mse: 0.0029024512, test2_mse: 4.5157518e-05
201k, train_mse: 0.0028373469, test1_mse: 0.002688717, test2_mse: 4.0341118e-05
202k, train_mse: 0.0028090775, test1_mse: 0.0026529795, test2_mse: 6.657946e-05
203k, train_mse: 0.0030263541, test1_mse: 0.002863584, test2_mse: 0.00031712584
204k, train_mse: 0.0027933503, test1_mse: 0.0026503445, test2_mse: 4.9670027e-05
205k, train_mse: 0.0029305266, test1_mse: 0.002794588, test2_mse: 0.00017037702
206k, train_mse: 0.0027887265, test1_mse: 0.0026428162, test2_mse: 8.3872845e-05
207k, train_mse: 0.002977134, test1_mse: 0.0028530902, test2_mse: 3.881794e-05
208k, train_mse: 0.002891714, test1_mse: 0.0027584103, test2_mse: 3.963522e-05
209k, train_mse: 0.003378066, test1_mse: 0.0032606486, test2_mse: 3.801753e-05
210k, train_mse: 0.0038394507, test1_mse: 0.0037102052, test2_mse: 3.672518e-05
211k, train_mse: 0.0034593495, test1_mse: 0.0032886383, test2_mse: 3.4061326e-05
212k, train_mse: 0.0032454457, test1_mse: 0.0031247847, test2_mse: 8.162427e-05
213k, train_mse: 0.0032094717, test1_mse: 0.0030465412, test2_mse: 5.681812e-05
214k, train_mse: 0.0031155609, test1_mse: 0.0029214602, test2_mse: 4.8348073e-05
215k, train_mse: 0.0030245795, test1_mse: 0.0028923727, test2_mse: 5.4228418e-05
216k, train_mse: 0.0029170217, test1_mse: 0.0027935202, test2_mse: 8.354527e-05
217k, train_mse: 0.0033677144, test1_mse: 0.0032329324, test2_mse: 0.00042345928
218k, train_mse: 0.0030299511, test1_mse: 0.0029359297, test2_mse: 0.00013281993
219k, train_mse: 0.0028331648, test1_mse: 0.002768516, test2_mse: 0.00013829356
220k, train_mse: 0.0027886198, test1_mse: 0.00273331, test2_mse: 0.00019040045
221k, train_mse: 0.0027237635, test1_mse: 0.0027560177, test2_mse: 0.00011915133
222k, train_mse: 0.0025102198, test1_mse: 0.0024313556, test2_mse: 8.277374e-05
223k, train_mse: 0.0026482937, test1_mse: 0.0025723807, test2_mse: 0.0008899589
224k, train_mse: 0.0026161626, test1_mse: 0.0024866208, test2_mse: 0.0008759549
225k, train_mse: 0.0022984652, test1_mse: 0.002276971, test2_mse: 7.3675306e-05
226k, train_mse: 0.0023143007, test1_mse: 0.002218915, test2_mse: 0.00015833066
227k, train_mse: 0.002618744, test1_mse: 0.0025285862, test2_mse: 0.0004299302
228k, train_mse: 0.0026886817, test1_mse: 0.0025958512, test2_mse: 0.00047912783
229k, train_mse: 0.0027178472, test1_mse: 0.00261597, test2_mse: 3.6592777e-05
230k, train_mse: 0.002774365, test1_mse: 0.0026673537, test2_mse: 3.4945315e-05
231k, train_mse: 0.0028118165, test1_mse: 0.0027657754, test2_mse: 4.5602614e-05
232k, train_mse: 0.0026857243, test1_mse: 0.0026702245, test2_mse: 0.0001033056
233k, train_mse: 0.0028416368, test1_mse: 0.0027560245, test2_mse: 0.00011020181
